distance_km,payload_tonnes,headwind_kts,cruise_altitude_ft,aircraft_type,fuel_kg,fuel_per_km
380,9.6,19,37500,B737,2423,6.376315789473685
540,8.7,28,36500,B737,3050,5.648148148148148
550,8.5,1,32500,B737,3111,5.656363636363636
560,12.4,17,32000,B737,3200,5.714285714285714
570,12.4,18,32000,B737,3173,5.566666666666666
570,6.0,38,34000,B737,3241,5.685964912280702
600,17.6,0,33500,A320,3187,5.3116666666666665
610,17.3,31,32500,B737,3600,5.901639344262295
620,6.7,13,32500,A320,3351,5.40483870967742
630,15.9,10,37000,A320,3269,5.188888888888889
640,15.0,-23,31500,A320,3449,5.3890625
680,11.9,-24,33000,B737,3640,5.352941176470588
690,16.3,-21,39000,A320,3338,4.83768115942029
720,11.5,-18,32000,A320,3734,5.186111111111111
720,11.0,-6,37000,B737,3574,4.963888888888889
820,8.8,-27,34000,A320,3709,4.523170731707317
820,7.2,14,35000,B737,3919,4.779268292682927
870,12.9,30,38500,A320,3895,4.477011494252873
960,8.7,13,31000,A320,4287,4.465625
960,12.9,-25,32000,A320,4161,4.334375
960,8.3,31,35000,A320,4226,4.402083333333334
1030,7.4,-17,33000,B737,4540,4.407766990291262
1100,7.5,9,36500,B737,4607,4.1881818181818184
1160,10.1,-11,34000,B737,5070,4.370689655172414
1160,13.2,19,37000,B737,4954,4.270689655172414
1160,11.4,1,35000,B737,5005,4.314655172413793
1200,15.3,-10,35500,A320,4994,4.161666666666667
1250,6.3,12,37500,B737,5214,4.1712
1260,6.5,25,36500,B737,5226,4.147619047619048
1300,13.1,0,37000,A320,5269,4.053076923076923
1330,14.0,18,33500,B737,5494,4.1308270676691725
1430,9.9,18,35000,B737,5857,4.095804195804196
1440,14.7,30,34500,A320,5979,4.152083333333334
1470,12.1,-19,31500,A320,5878,3.998639455782313
1470,6.9,-23,34500,A320,5622,3.8244897959183675
1500,7.8,-25,34500,A320,5912,3.941333333333333
1510,6.3,-6,37000,A320,5927,3.9251655629139073
1510,8.2,-29,33000,B737,5937,3.9317880794701985
1550,10.0,39,32000,B737,6379,4.115483870967742
1570,8.9,-20,32000,A320,6052,3.8547770700636943
1570,10.7,8,38000,B737,6066,3.8636942675159234
1580,11.9,0,38500,B737,6144,3.8886075949367087
1590,14.0,17,38500,B737,6361,4.00062893081761
1610,16.1,-11,34500,A320,6358,3.9490683229813666
1620,8.3,27,33000,A320,6225,3.8425925925925926
1620,11.3,40,32500,A320,6435,3.9722222222222223
1620,7.9,-17,37000,B737,6010,3.7098765432098766
1690,14.9,40,37500,A320,6554,3.8781065088757396
1700,17.6,39,34000,B737,6798,3.998823529411765
1700,9.4,32,33000,B737,6750,3.9705882352941178
1740,13.3,13,34000,B737,6736,3.871264367816092
1770,8.9,29,37000,B737,6731,3.802824858757062
1850,7.9,-30,35000,B737,7119,3.848108108108108
